chapterID,roadmapID,title,description,difficulty,category,prerequisite,order,modifiedDate
100001,100001,"Introduction to Java","Learn Java basics and set up your development environment.","Beginner","Java","None",1,"2025-11-15"
100002,100001,"Variables and Data Types","Understand variables, primitive types, and type conversions.","Beginner","Java","Introduction to Java",2,"2025-11-15"
100003,100001,"Control Flow","Learn conditionals, loops, and decision-making in Java.","Intermediate","Java","Variables and Data Types",3,"2025-11-15"
100004,100001,"Object-Oriented Programming","Explore classes, objects, inheritance, and polymorphism.","Intermediate","Java","Control Flow",4,"2025-11-15"
100005,100001,"Collections Framework","Learn Lists, Sets, Maps, and Queues in Java.","Advanced","Java","Object-Oriented Programming",5,"2025-11-15"
100006,100002,"Introduction to Python","Get started with Python syntax and setup.","Beginner","Python","None",1,"2025-11-15"
100007,100002,"Variables and Data Types","Understand Python variables, lists, tuples, and dictionaries.","Beginner","Python","Introduction to Python",2,"2025-11-15"
100008,100002,"Control Flow","Learn if statements, loops, and error handling in Python.","Intermediate","Python","Variables and Data Types",3,"2025-11-15"
100009,100002,"Functions and Modules","Create reusable code using functions and modules.","Intermediate","Python","Control Flow",4,"2025-11-15"
100010,100002,"File I/O","Read and write files in Python for data storage.","Advanced","Python","Functions and Modules",5,"2025-11-15"
100011,100003,"Introduction to JavaScript","Learn JS basics, variables, and operators.","Beginner","JavaScript","None",1,"2025-11-15"
100012,100003,"Functions and Scope","Understand functions, closures, and variable scope.","Intermediate","JavaScript","Introduction to JavaScript",2,"2025-11-15"
100013,100003,"DOM Manipulation","Interact with web pages using the DOM.","Intermediate","JavaScript","Functions and Scope",3,"2025-11-15"
100014,100003,"Events and Listeners","Handle user interactions using events.","Intermediate","JavaScript","DOM Manipulation",4,"2025-11-15"
100015,100003,"Asynchronous JavaScript","Learn callbacks, promises, and async/await.","Advanced","JavaScript","Events and Listeners",5,"2025-11-15"
100016,100004,"Introduction to React","Understand React basics and JSX.","Beginner","React","None",1,"2025-11-15"
100017,100004,"Components and Props","Create reusable components and pass data via props.","Intermediate","React","Introduction to React",2,"2025-11-15"
100018,100004,"State Management","Learn useState and managing component state.","Intermediate","React","Components and Props",3,"2025-11-15"
100019,100004,"React Hooks","Learn useEffect and other hooks for side effects.","Intermediate","React","State Management",4,"2025-11-15"
100020,100004,"Fetching Data with APIs","Learn how to fetch data from APIs using React.","Advanced","React","React Hooks",5,"2025-11-15"
100021,100005,"Introduction to Node.js","Learn Node.js runtime and setup.","Beginner","NodeJS","None",1,"2025-11-15"
100022,100005,"Node.js Modules","Understand built-in modules and npm packages.","Intermediate","NodeJS","Introduction to Node.js",2,"2025-11-15"
100023,100005,"Creating Servers","Build simple HTTP servers in Node.js.","Intermediate","NodeJS","Node.js Modules",3,"2025-11-15"
100024,100005,"Asynchronous Programming","Learn callbacks, promises, and async patterns.","Advanced","NodeJS","Creating Servers",4,"2025-11-15"
100025,100005,"Express.js Basics","Build RESTful APIs using Express framework.","Advanced","NodeJS","Asynchronous Programming",5,"2025-11-15"
100026,100006,"Introduction to SQL","Learn SQL syntax, setup, and basic queries.","Beginner","Database SQL","None",1,"2025-11-15"
100027,100006,"SELECT Queries","Retrieve data from databases using SELECT statements.","Beginner","Database SQL","Introduction to SQL",2,"2025-11-15"
100028,100006,"Joins","Combine tables using INNER, LEFT, RIGHT, and FULL joins.","Intermediate","Database SQL","SELECT Queries",3,"2025-11-15"
100029,100006,"Aggregate Functions","Use COUNT, SUM, AVG, MIN, MAX for data analysis.","Intermediate","Database SQL","Joins",4,"2025-11-15"
100030,100006,"Indexing and Optimization","Learn how indexing improves query performance.","Advanced","Database SQL","Aggregate Functions",5,"2025-11-15"
100031,100007,"Introduction to HTML","Learn the structure of web pages using HTML.","Beginner","HTML/CSS","None",1,"2025-11-15"
100032,100007,"HTML Forms","Create forms and gather user input effectively.","Beginner","HTML/CSS","Introduction to HTML",2,"2025-11-15"
100033,100007,"CSS Basics","Style web pages using colors, fonts, and layouts.","Intermediate","HTML/CSS","HTML Forms",3,"2025-11-15"
100034,100007,"Flexbox and Grid","Create responsive layouts using Flexbox and Grid.","Intermediate","HTML/CSS","CSS Basics",4,"2025-11-15"
100035,100007,"Animations and Transitions","Add animations and transitions for interactive UI.","Advanced","HTML/CSS","Flexbox and Grid",5,"2025-11-15"
100036,100008,"Introduction to TypeScript","Learn TypeScript syntax, types, and setup.","Beginner","TypeScript","None",1,"2025-11-15"
100037,100008,"Types and Interfaces","Use strong typing with interfaces and type annotations.","Intermediate","TypeScript","Introduction to TypeScript",2,"2025-11-15"
100038,100008,"Classes and Objects","Understand classes, inheritance, and OOP in TypeScript.","Intermediate","TypeScript","Types and Interfaces",3,"2025-11-15"
100039,100008,"Generics","Create reusable code with generics.","Advanced","TypeScript","Classes and Objects",4,"2025-11-15"
100040,100008,"Advanced TypeScript Features","Learn advanced types, decorators, and type guards.","Advanced","TypeScript","Generics",5,"2025-11-15"
100041,100009,"Introduction to Angular","Learn Angular setup, modules, and architecture.","Beginner","Angular","None",1,"2025-11-15"
100042,100009,"Components and Templates","Create components and bind templates in Angular.","Intermediate","Angular","Introduction to Angular",2,"2025-11-15"
100043,100009,"Services and Dependency Injection","Manage data and services efficiently.","Intermediate","Angular","Components and Templates",3,"2025-11-15"
100044,100009,"Routing and Navigation","Handle page navigation and dynamic routes.","Intermediate","Angular","Services and DI",4,"2025-11-15"
100045,100009,"Forms and Validation","Create forms with validation in Angular.","Advanced","Angular","Routing and Navigation",5,"2025-11-15"
100046,100010,"Decorators","Learn how decorators modify functions and classes.","Advanced","Python","Functions and Modules",1,"2025-11-15"
100047,100010,"Generators","Understand lazy evaluation using Python generators.","Advanced","Python","Decorators",2,"2025-11-15"
100048,100010,"Context Managers","Manage resources efficiently with context managers.","Advanced","Python","Generators",3,"2025-11-15"
100049,100010,"Metaclasses","Dive into Python metaclasses and dynamic class creation.","Advanced","Python","Context Managers",4,"2025-11-15"
100050,100010,"Concurrency","Explore threading, asyncio, and multiprocessing.","Advanced","Python","Metaclasses",5,"2025-11-15"
100051,100011,"Concurrency in Java","Learn multithreading, Executors, and thread safety.","Advanced","Java","Intermediate Java Knowledge",1,"2025-11-15"
100052,100011,"JVM Internals","Understand JVM memory, class loading, and bytecode.","Advanced","Java","Concurrency in Java",2,"2025-11-15"
100053,100011,"Garbage Collection","Learn GC algorithms, tuning, and memory management.","Advanced","Java","JVM Internals",3,"2025-11-15"
100054,100011,"Performance Tuning","Optimize Java applications for speed and scalability.","Advanced","Java","Garbage Collection",4,"2025-11-15"
100055,100012,"Higher-Order Components","Learn HOCs to reuse component logic.","Advanced","React","React Basics",1,"2025-11-15"
100056,100012,"Render Props","Use render props for flexible component composition.","Advanced","React","Higher-Order Components",2,"2025-11-15"
100057,100012,"Context API","Manage state globally using React Context.","Advanced","React","Render Props",3,"2025-11-15"
100058,100012,"Advanced Hooks","Master useReducer, useMemo, useCallback for performance.","Advanced","React","Context API",4,"2025-11-15"
100059,100012,"Performance Optimization","Improve React app performance and best practices.","Advanced","React","Advanced Hooks",5,"2025-11-15"
100060,100013,"RESTful API Design","Learn principles and best practices for designing RESTful APIs.","Intermediate","API","None",1,"2025-11-15"
100061,100013,"GraphQL Fundamentals","Understand GraphQL schema, queries, mutations, and subscriptions.","Intermediate","API","RESTful API Design",2,"2025-11-15"
100062,100013,"API Authentication","Implement OAuth2, JWT, and other authentication mechanisms.","Advanced","API","GraphQL Fundamentals",3,"2025-11-15"
100063,100013,"API Documentation","Generate API docs using Swagger/OpenAPI for clarity and collaboration.","Intermediate","API","API Authentication",4,"2025-11-15"
100064,100013,"API Performance Testing","Test APIs for scalability, latency, and reliability.","Advanced","API","API Documentation",5,"2025-11-15"
100065,100014,"HTML5 & CSS3 Advanced","Master advanced HTML5 features and CSS3 layouts (Flexbox, Grid).","Intermediate","Frontend","None",1,"2025-11-15"
100066,100014,"JavaScript ES6+","Learn modern JavaScript syntax, modules, and asynchronous programming.","Intermediate","Frontend","HTML5 & CSS3 Advanced",2,"2025-11-15"
100067,100014,"Vue.js & Svelte","Build applications using Vue.js and Svelte frameworks.","Advanced","Frontend","JavaScript ES6+",3,"2025-11-15"
100068,100014,"State Management","Manage application state using Vuex, Pinia, or Svelte stores.","Advanced","Frontend","Vue.js & Svelte",4,"2025-11-15"
100069,100014,"Frontend Build Tools","Use Webpack, Vite, and other tools to optimize frontend projects.","Advanced","Frontend","State Management",5,"2025-11-15"
100070,100015,"Backend Architecture","Understand backend architecture patterns and microservices.","Intermediate","Backend","None",1,"2025-11-15"
